Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400587882,2014-12-30,FSU,,"(8-5, 0-1 ACC)",Florida,,"(7-5, 0-2 away)"
400587883,2014-12-30,Georgia Tech,,"(9-3, 6-1 home)",Charlotte,,"(6-6, 2-3 away)"
400587886,2014-12-30,Miami (FL),,"(10-3, 5-2 home)",Charleston,,"(5-8, 1-4 away)"
400587884,2014-12-30,Notre Dame,(14),"(13-1, 1-0 ACC)",Hartford,,"(7-6, 0-1 Am. East)"
400587888,2014-12-30,Pitt,,"(10-3, 7-0 home)",FGCU,,"(9-5, 0-3 away)"
400587890,2014-12-31,Wake Forest,,"(8-6, 0-1 ACC)",Princeton,,"(5-9, 0-6 away)"
400587889,2014-12-31,Duke,(2),"(12-0, 7-0 home)",Wofford,,"(9-4, 2-4 away)"
400587891,2014-12-31,Syracuse,,"(9-4, 8-1 home)",Cornell,,"(6-7, 3-3 away)"
400587892,2015-01-02,Miss St,,"(7-6, 6-2 home)",FSU,,"(8-6, 0-1 ACC)"
400587893,2015-01-03,NC State,,"(11-4, 2-0 ACC)",Pitt,,"(10-4, 0-1 ACC)"
400587898,2015-01-03,VT,,"(8-6, 0-1 ACC)",Syracuse,,"(10-4, 1-0 ACC)"
400587894,2015-01-03,Notre Dame,(14),"(14-1, 2-0 ACC)",Georgia Tech,,"(9-4, 0-1 ACC)"
400587897,2015-01-03,Duke,(2),"(13-0, 1-0 ACC)",Boston College,,"(7-5, 0-1 ACC)"
400587895,2015-01-03,Miami (FL),,"(10-4, 0-1 ACC)",UVA,(3),"(13-0, 1-0 ACC)"
400587896,2015-01-03,Clemson,,"(8-5, 0-1 ACC)",UNC,(19),"(11-3, 1-0 ACC)"
400587899,2015-01-04,Wake Forest,,"(8-7, 0-2 ACC)",Louisville,(5),"(13-1, 1-0 ACC)"
400587900,2015-01-05,UNC,(18),"(11-4, 1-1 ACC)",Notre Dame,(13),"(15-1, 3-0 ACC)"
400587901,2015-01-06,FSU,,"(9-6, 1-1 ACC)",VT,,"(8-7, 0-2 ACC)"
400587902,2015-01-06,Boston College,,"(7-6, 0-2 ACC)",Pitt,,"(11-4, 1-1 ACC)"
400587904,2015-01-07,UVA,(3),"(14-0, 2-0 ACC)",NC State,,"(11-5, 2-1 ACC)"
400587903,2015-01-07,Georgia Tech,,"(9-5, 0-2 ACC)",Syracuse,,"(11-4, 2-0 ACC)"
400587906,2015-01-07,Wake Forest,,"(8-8, 0-3 ACC)",Duke,(2),"(14-0, 2-0 ACC)"
400587905,2015-01-07,Louisville,(5),"(14-1, 2-0 ACC)",Clemson,,"(8-6, 0-2 ACC)"
400587910,2015-01-10,Wake Forest,,"(9-8, 1-3 ACC)",Georgia Tech,,"(9-6, 0-3 ACC)"
400587911,2015-01-10,Pitt,,"(11-5, 1-2 ACC)",Clemson,,"(9-6, 1-2 ACC)"
400587907,2015-01-10,UNC,(18),"(12-4, 2-1 ACC)",Louisville,(5),"(14-2, 2-1 ACC)"
400587909,2015-01-10,Miami (FL),,"(11-4, 1-1 ACC)",Boston College,,"(7-7, 0-3 ACC)"
400587908,2015-01-10,Notre Dame,(13),"(15-2, 3-1 ACC)",UVA,(3),"(15-0, 3-0 ACC)"
400587912,2015-01-11,NC State,,"(12-5, 3-1 ACC)",Duke,(2),"(14-1, 2-1 ACC)"
400587913,2015-01-11,Syracuse,,"(12-4, 3-0 ACC)",FSU,,"(9-7, 1-2 ACC)"
400587914,2015-01-13,Louisville,(6),"(15-2, 3-1 ACC)",VT,,"(8-8, 0-3 ACC)"
400587915,2015-01-13,UVA,(2),"(16-0, 4-0 ACC)",Clemson,,"(9-7, 1-3 ACC)"
400587916,2015-01-13,Syracuse,,"(13-4, 4-0 ACC)",Wake Forest,,"(9-9, 1-4 ACC)"
400587917,2015-01-13,Duke,(4),"(14-2, 2-2 ACC)",Miami (FL),,"(12-4, 2-1 ACC)"
400587918,2015-01-14,Georgia Tech,,"(9-7, 0-4 ACC)",Notre Dame,(12),"(16-2, 4-1 ACC)"
400587919,2015-01-14,NC State,,"(12-6, 3-2 ACC)",UNC,(15),"(13-4, 3-1 ACC)"
400587921,2015-01-14,Pitt,,"(12-5, 2-2 ACC)",FSU,,"(9-8, 1-3 ACC)"
400587922,2015-01-17,Louisville,(6),"(15-3, 3-2 ACC)",Duke,(4),"(15-2, 3-2 ACC)"
400587923,2015-01-17,FSU,,"(9-9, 1-4 ACC)",NC State,,"(13-6, 4-2 ACC)"
400587925,2015-01-17,Boston College,,"(8-8, 0-4 ACC)",UVA,(2),"(17-0, 5-0 ACC)"
400587924,2015-01-17,Notre Dame,(12),"(17-2, 5-1 ACC)",Miami (FL),,"(12-5, 2-2 ACC)"
400587926,2015-01-17,Pitt,,"(13-5, 3-2 ACC)",Georgia Tech,,"(9-8, 0-5 ACC)"
400587927,2015-01-17,Clemson,,"(10-7, 2-3 ACC)",Syracuse,,"(13-5, 4-1 ACC)"
400587928,2015-01-18,UNC,(15),"(14-4, 4-1 ACC)",VT,,"(8-9, 0-4 ACC)"
400587929,2015-01-19,Duke,(5),"(16-2, 4-2 ACC)",Pitt,,"(13-6, 3-3 ACC)"
400587930,2015-01-19,Clemson,,"(10-8, 2-4 ACC)",FSU,,"(10-9, 2-4 ACC)"
400587931,2015-01-20,Syracuse,,"(14-5, 5-1 ACC)",Boston College,,"(8-9, 0-5 ACC)"
400587932,2015-01-21,Wake Forest,,"(9-10, 1-5 ACC)",UNC,(15),"(15-4, 5-1 ACC)"
400587933,2015-01-22,VT,,"(8-10, 0-5 ACC)",Notre Dame,(8),"(18-2, 6-1 ACC)"
400587934,2015-01-22,UVA,(2),"(18-0, 6-0 ACC)",Georgia Tech,,"(9-9, 0-6 ACC)"
400587935,2015-01-22,Miami (FL),,"(13-5, 3-2 ACC)",NC State,,"(13-7, 4-3 ACC)"
400587937,2015-01-24,UNC,(15),"(16-4, 6-1 ACC)",FSU,,"(10-10, 2-5 ACC)"
400587938,2015-01-24,Syracuse,,"(14-6, 5-2 ACC)",Miami (FL),,"(14-5, 4-2 ACC)"
400587941,2015-01-25,VT,,"(8-11, 0-6 ACC)",UVA,(2),"(19-0, 7-0 ACC)"
400587939,2015-01-25,Georgia Tech,,"(9-10, 0-7 ACC)",Boston College,,"(9-9, 1-5 ACC)"
400587943,2015-01-25,St John's,,"(13-6, 2-4 Big East)",Duke,(5),"(17-2, 4-2 ACC)"
400587940,2015-01-25,Pitt,,"(13-7, 3-4 ACC)",Louisville,(10),"(16-3, 4-2 ACC)"
400587942,2015-01-25,NC State,,"(13-8, 4-4 ACC)",Notre Dame,(8),"(19-2, 7-1 ACC)"
400587944,2015-01-26,UNC,(13),"(17-4, 7-1 ACC)",Syracuse,,"(14-7, 5-3 ACC)"
400587945,2015-01-27,VT,,"(9-11, 1-6 ACC)",Pitt,,"(13-8, 3-5 ACC)"
400587946,2015-01-28,FSU,,"(11-10, 3-5 ACC)",Wake Forest,,"(9-12, 1-7 ACC)"
400587947,2015-01-28,Notre Dame,(8),"(20-2, 8-1 ACC)",Duke,(4),"(17-3, 4-3 ACC)"
400587949,2015-01-28,Boston College,,"(9-10, 1-6 ACC)",Louisville,(10),"(17-3, 5-2 ACC)"
400587950,2015-01-28,Miami (FL),(23),"(14-6, 4-3 ACC)",Georgia Tech,,"(10-10, 1-7 ACC)"
400587948,2015-01-28,NC State,,"(13-9, 4-5 ACC)",Clemson,,"(12-8, 4-4 ACC)"
400587952,2015-01-31,Pitt,,"(14-8, 4-5 ACC)",Notre Dame,(8),"(20-3, 8-2 ACC)"
400587953,2015-01-31,Clemson,,"(13-8, 5-4 ACC)",Boston College,,"(9-11, 1-7 ACC)"
400587954,2015-01-31,Wake Forest,,"(10-12, 2-7 ACC)",VT,,"(9-12, 1-7 ACC)"
400587956,2015-01-31,Louisville,(10),"(18-3, 6-2 ACC)",UNC,(13),"(17-5, 7-2 ACC)"
400587955,2015-01-31,UVA,(2),"(19-1, 7-1 ACC)",Duke,(4),"(18-3, 5-3 ACC)"
400587957,2015-02-01,FSU,,"(12-10, 4-5 ACC)",Miami (FL),(23),"(14-7, 4-4 ACC)"
400587959,2015-02-02,UNC,(12),"(17-6, 7-3 ACC)",UVA,(3),"(20-1, 8-1 ACC)"
400587958,2015-02-02,Pitt,,"(15-8, 4-5 ACC)",Bryant,,"(10-11, 7-3 NEC)"
